"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.2932408721018","49.2173826700337","49.0815366991917","48.9422546505475","50.7347580841676","52.5511514273736","54.3909181969472","56.2537933853949","58.1394553161736","60.0476398835019","61.9776584349106","63.9290958809538","65.9013944663153","67.8933392687702","69.9037022596908","69.9444998723732","69.9843294767126","70.0231498383663","","",
"Andorra","AND","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.64","90.6399974327368","90.6399962979756","90.640002362358","90.6399965987736","90.6399994519822","90.6400042691678","90.6399979090976","90.6399979384687","90.6400010234311","90.6399969292339","90.639995871522","90.6400010486473","90.64","90.6399978177792","90.6400022160392","90.64","90.6399966306356","","",
"Arab World","ARB","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5975624256855","29.7428187867187","33.2981652181782","36.8434591581398","40.3903302923344","43.9389437991209","47.4890605278899","51.0409456531666","54.5944657999303","58.1497800653466","61.7068553900329","65.265731331227","68.8264474223398","72.3909980318628","75.961240059848","79.4349773688178","83.0059759610227","86.4763548512362","","",
"American Samoa","ASM","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4093858584915","12.4191327552296","12.4288796519677","12.4386265487057","12.4483734454438","12.4581203421819","12.4678672389199","12.477614135658","12.4873610323961","12.4971079291341","12.5068548258722","12.5166017226103","12.5263486193483","12.5360955160864","12.5458424128244","12.5555893095625","12.5653362063006","12.5750831030386","","",
"Antigua and Barbuda","ATG","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.7139355406614","97.7968426966292","97.8797528089888","97.9626629213483","98.0455730337079","98.1284802434549","98.211390364262","98.2943033707865","98.3772134831461","98.4601235955056","98.5430337078651","98.6259438202247","98.7088539325843","98.7917668567525","98.874676953401","98.9094252777529","98.9078075069934","98.9062009731804","","",
"Azerbaijan","AZE","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.6776780218269","50.1333219375612","50.5862728855835","51.0368673998872","53.4661918578661","55.9271201052248","58.4195202893195","60.9432554002","63.4977235278233","66.0827900863982","68.7005535226904","70.3220182852756","70.8523710120464","71.3873570496004","71.9262809740936","72.4689078151401","73.0150031464696","73.5643314527719","","",
"Burundi","BDI","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5231868439827","99.5231815417906","99.5231824391105","99.5231894519972","99.5231821847454","99.5231885421428","99.523184804421","99.5231870819666","99.5231853806577","99.5231876200555","99.5231828858639","99.5231848350789","99.5231821000557","99.5231872965737","99.523186203856","99.5231862005569","99.5231843254345","99.5231889841464","","",
"Benin","BEN","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.9067022787062","55.9253224194628","55.9195044249781","55.9101392108445","55.897333024061","55.8813574294568","55.8617085212023","55.838492567862","55.8118301438606","55.7818379336461","55.748158206391","55.7110761527999","55.6713649000337","55.6296688082204","55.5854809694361","55.5394594783626","55.4912629602883","55.4412263929523","","",
"Bulgaria","BGR","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.8374243621014","96.838248734189","96.835005884903","96.808894177275","96.7639356134793","96.7194768683012","96.6754962644985","96.632003238326","96.5889935680759","96.709816152216","96.8309634085842","96.9524300901463","97.0742566311588","97.0345580007439","97.0116481886528","96.9892616249367","96.9673381433233","96.9459351944963","","",
"Bahrain","BHR","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7992806351921","98.821630336125","98.8439825359202","98.8663372345778","98.8886944320978","98.9110541284801","98.9334163237249","98.9521796510412","98.9621704463084","98.9721612415756","98.9821520368428","98.9832621252058","98.9832621252058","98.9832621252058","98.9832621252058","98.9832621252058","98.9832621252058","98.9832621252058","","",
"Bahamas, The","BHS","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.3499776009444","87.4727234671149","87.5946216945052","87.7155846456158","87.8356939170416","87.9548252825932","88.0730321717257","88.1903683108231","88.3067599352738","88.4222158603459","88.5367330429031","88.6503365798738","88.7022923556018","88.7976801129891","88.8171851442859","88.8251276085221","88.833356201408","88.8418949003658","","",
"Belarus","BLR","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.6217321397322","80.8069317285333","80.990598578682","81.1723561103944","82.5363395402821","83.8674203529207","85.1660899047886","86.4328199778581","87.6683027998955","88.8723937617005","90.0545636710756","91.2050963814473","92.3205651205498","93.4016547570151","94.4490434298034","94.4733153147193","94.4974324499365","94.5213903013651","","",
"Belize","BLZ","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.5512940677806","29.1216931389348","29.6917622552117","30.2611985444565","30.8299516299005","31.3861982607832","31.8398133280191","32.2904837700353","32.7381023991199","33.1818531086363","33.6221258529616","34.0588222084035","34.4884688436605","34.9106872645578","35.3253453131239","35.7239651490472","35.9973189576214","36.1631110705627","","",
"Botswana","BWA","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2118488146912","98.2196715199559","98.2215086553019","98.2233724230574","98.22520941822","98.2743631404039","98.3237319994214","98.3749462623135","98.4258865007788","98.4765363365258","98.5269146305441","98.576675062365","98.6241377885026","98.6715471146069","98.7188965251546","98.7662217178808","98.8134976105464","98.8608540486569","","",
"Central Europe and the Baltics","CEB","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.4635212557842","87.9682920580273","88.4903364293257","89.0211721281383","89.5163371713736","90.1126466860048","90.7125819986255","91.302750924074","91.8518381260059","92.4039466868456","92.9463891021259","93.4557743477692","93.9690746549542","","",
"Switzerland","CHE","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.8243259052786","92.8243243243244","92.8243243243244","92.8243212164636","93.0635135135136","93.3027011657234","93.5418903656165","93.7810780526833","94.0202717713054","94.2594579723143","94.4986515943898","94.7378378378379","94.9770270270271","95.2162162162163","95.4554054054054","95.4554026043008","95.4554054054054","95.4554081548779","","",
"Channel Islands","CHI","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.975","91.975","91.975","91.975","91.975","91.975","91.975","91.975","91.975","","",
"Chile","CHL","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.9617713367305","92.4917719678125","92.9973843649507","93.4314007052886","93.868959817529","94.3089565152702","94.7523462905754","95.1984243970128","95.6476988512989","96.0995644545617","96.5540236451576","97.0114325950979","97.4713290544714","97.9338473289974","98.3100664136339","98.4758020065048","98.4639654416685","98.6391697263652","","",
