"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.035","","","","","0.063","","","","","0.065","","","","","","","","","","","0.077","","","","","0.183","0.179","","0.129","0.109","","","0.143","","","","0.11","","","","0.1957","","","","","0.163","0.1774","0.1771","0.2156","0.2396","0.2553","0.245","0.2894","0.3039","0.2907","0.284","","","",
"Angola","AGO","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.067","","","","","0.076","","","","","0.116","","","","","","","","","","","","","","0.059","","","","","","0.042","","","","","","","0.0584","","","","","","","0.0618","","","","","0.1311","","","","","","","","0.2149","","",
"Albania","ALB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.276","","","","","0.481","","","","","0.739","0.911","0.845","","","","","1.036","","","1.367","","","1.415","1.407","1.406","","","","1.403","1.374","1.47","1.65","1.425","","1.306","1.354","1.295","1.289","1.282","1.389","","1.305","","","","","1.146","","1.144","1.2379","1.2225","1.2658","1.2706","","","1.1998","","","",
"Andorra","AND","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.231","","2.435","2.47","2.594","2.549","2.594","","3.3333","","","3.64","3.716","","3.112","4","","","","","3.3333","","","","",
"Arab World","ARB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.718861603790187","","","","","","","","","","1.12513376277058","","","","","","","","","","","","","","","1.09730257439853","","","","",
"United Arab Emirates","ARE","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","0.909","","","","","","","","","","1.068","","","","0.953","","","","","","","","","","","","","","","","1.7896","1.969","1.9865","2.0596","1.9086","1.5222","1.3445","1.4343","1.6869","1.5674","1.4675","1.4824","1.5167","1.7783","2.0268","2.2373","2.3944","","","",
"Argentina","ARG","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.351","","","","","1.667","","","","","1.892","","","","","1.869","","","","","","","","","2.683","2.705","2.984","","3.032","","2.68","","2.6385","","","2.68","","","3.0021","","","3.2311","","","3.1662","3.21","","","","","3.21","","","3.9066","","","","3.96","","",
"Armenia","ARM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","3.211","3.278","3.406","3.454","3.501","3.577","3.674","3.736","3.763","3.881","3.924","3.701","3.597","3.345","3.122","3.042","3.591","3.156","3.156","3.051","2.987","3.526","","3.588","","","3.7","3.697","","2.677","2.8419","2.8686","2.8991","2.9072","2.899","","","","","",
"American Samoa","ASM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.772","","","","","","","","","","","","","","","0.781","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.294","","","","","","","","","","0.349","","","","","","","","","","","","","","","","","","","","0.76","0.919","","3.03","","0.76","1.141","","","0.1467","","","","","","","","1.5755","","","","","","","","","","2.7647","","",
"Australia","AUS","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","1.1","","","","","1.2","","","","","1.2","","","","","1.5","","","","","1.8","","","1.8","1.9","2","2.1","2.1","2.1","2.2","2.3","2.4","2.4","2.4","2.4","2.5199","2.4","2.4","2.4","2.5","2.4846","2.5","","","","2.6765","","","2.8888","3.3481","3.2963","3.2976","3.3882","3.462","3.5213","3.5874","","","",
"Austria","AUT","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.2","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.5","1.5","1.5","1.5","1.6","1.6","1.7","1.7","1.8","1.8","1.9","1.9","2","2.1","2.2","2.2","2.3","2.4","2.5","2.6","2.7","2.8","2.9","3.1","3.1","3.2","3.3","3.3","3.378","","","3.66","3.794","","","4.7688","4.8031","4.845","4.9316","4.9954","5.0701","5.1441","","","",
"Azerbaijan","AZE","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","3.362","","","","","3.799","3.877","3.906","3.964","3.99","3.917","3.916","3.881","3.928","3.896","3.925","3.899","3.831","3.602","3.521","3.607","3.536","","3.547","","","3.63","3.794","","3.782","3.6629","3.4375","3.4901","3.4558","3.4466","","","","","",
"Burundi","BDI","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.01","","","","","0.017","","","","","0.017","","","","","0.012","","","","","","","","","0.047","","0.058","","","","0.058","0.059","","0.056","","0.055","","","","","0.052","","","","0.0278","","","","","","0.0477","","","","","","0.05","","","",
"Belgium","BEL","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.3","1.3","1.4","1.4","1.4","1.5","1.5","1.5","1.6","1.6","","1.5","1.6","1.7","1.8","1.9","1.9","2","2.1","2.2","2.3","2.4","2.5","2.8","2.7","2.8","2.9","3","3.1","3.2","3.3","3.3","3.4","3.4","3.5","3.5","3.6","3.7","3.7","3.8","3.9","3.9","3.9","","","2.0479","2.0957","","","","2.9085","2.9222","2.9397","2.9592","2.9729","3.0138","3.3234","","","",
"Benin","BEN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.04","","","","","0.03","","","","","0.034","","","","","","","","","","0.059","0.059","","0.075","","0.073","","","","0.071","0.051","0.042","0.055","0.057","0.061","0.058","","","","","","","","","0.0401","","","","0.0623","","0.059","","0.1646","0.1506","","","0.1572","","","",
"Burkina Faso","BFA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.011","","","","","0.014","","","","","0.01","","","","","","","","","","0.018","0.018","","0.018","","","0.004","","","0.029","","","","","","0.034","0.035","0.038","","","","0.04","","","0.0543","","0.028","","0.0322","0.0446","0.0457","0.0386","0.0475","","","","0.06","","","",
"Bangladesh","BGD","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","0.123","","","","","0.119","","","","","","","","","","0.12","","","","","0.154","0.144","","","","0.177","0.188","","","","0.201","","0.2","","","","0.2423","","0.2631","0.2723","0.299","0.307","0.3193","0.3317","0.3438","0.3526","0.3724","0.3879","0.4089","0.4737","0.4709","0.4822","0.5268","","",
"Bulgaria","BGR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.405","","","","","1.667","","","","","1.863","1.896","1.985","2.042","2.102","2.152","2.205","2.258","2.321","2.408","2.46","2.484","2.588","2.688","2.759","2.865","2.953","3.022","3.09","3.139","3.17","2.979","3.166","3.359","3.327","3.458","3.539","3.447","3.449","","3.399","","","3.562","","","3.66","3.665","3.635","","3.7764","3.8585","3.9121","3.9761","3.9879","","","","","",
"Bahrain","BHR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.45","","","","","","","","","","0.429","","","","","","","","","","1.087","","","","","1.219","","","","","","1.315","","0.11","","","","1","","","1.0202","1.0636","1.0774","1.0479","0.9677","1.0436","1.0142","1.0155","0.9896","0.9696","0.9493","0.945","0.9568","0.9533","0.957","0.9257","","","","",
"Bahamas, The","BHS","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.496","","","","","","","","","","0.76","","","","","","","","","","0.938","","","","0.943","","","","","","1.29","","","1.446","","1.49","1.518","","1.0755","","","","","","","","","","2.7158","","","2.264","","","","","","1.9373","","",
"Bosnia and Herzegovina","BIH","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","1.033","1.089","1.17","1.207","1.28","1.362","1.419","1.485","1.52","1.557","1.57","1.555","","","","","","","1.427","1.401","1.422","1.338","","1.34","","1.418","","","","1.65","1.7907","1.8653","1.9259","2.0003","","","","","","",
"Belarus","BLR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","2.962","","","","","3.329","3.375","3.445","3.512","3.576","3.56","3.576","3.638","4.076","4.142","4.155","4.286","4.365","4.431","4.551","4.579","4.497","4.526","4.55","4.622","4.68","4.78","4.869","4.98","3.702","3.5179","3.7953","3.8809","3.9331","4.0772","","","","","",
"Belize","BLZ","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.242","","","","","","","","","","0.342","","","","","","","","","","","","","","0.272","","0.451","","0.472","","0.639","","","0.493","","0.6","0.548","","","","1.015","","","","","","","","","0.7678","0.828","","1.1494","","","","","1.1262","","",
"Bermuda","BMU","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","1.766","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.267","","","","","0.311","","","","","0.509","","","","","0.49","","","","","","0.523","","","0.697","","","","","","0.45","","","0.426","","0.34","","1.299","","","","1.2157","","","","","","0.3358","","","0.4442","0.4734","","","","","1.6111","","","",
"Brazil","BRA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.374","","","","","0.4","","","","","0.492","","","","","0.624","","","","","","0.767","","","0.927","1.467","","","1.185","","1.0839","0.998","1.1377","1.1651","1.1932","1.2229","1.2532","1.2885","1.273","1.3699","1.1304","1.3852","1.4133","1.4696","1.5807","1.6592","1.6931","1.7225","1.7714","1.8077","1.8039","1.8382","","1.8693","","","","2.1502","2.1499","",
"Barbados","BRB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.329","","","","","","","","","","0.523","","","","","","","","","","","","","","0.891","","","","","","1.14","","","1.254","","1.3509","","","","1.21","1.3529","1.5515","","","","1.7847","","","","","1.811","","","","","","","2.4886","","",
"Brunei Darussalam","BRN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.146","","","","","","","","","","0.3","","","","","","","","","","0.435","0.487","","","0.534","","","","","","","0.746","","","","","0.848","","","","1.0084","","1.1531","","1.2879","1.0679","1.0775","1.0483","1.4869","1.1595","1.4484","1.5431","1.4911","1.617","1.5035","1.7701","","","","",
"Bhutan","BTN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","0.125","0.102","","","","","","","","0.333","","","","0.17","0.16","","","","0.051","","","","","0.1843","","","0.2096","0.2439","","0.023","","0.2576","0.2654","0.3142","0.3188","0.3748","0.3715","","",
"Botswana","BWA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.042","","","","","0.036","","","","","0.064","","","","","0.133","","","","","0.123","0.134","","0.144","","","","","0.2","0.194","","","","0.194","0.238","","","","0.254","0.2983","0.2887","0.2906","0.3011","0.2915","0.3909","0.2511","0.3137","0.3704","0.3679","0.35","0.4065","0.3993","0.392","","","","0.3688","","","",
"Central African Republic","CAF","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.02","","","","","0.03","","","","","0.023","","","","","","","","","","0.043","0.044","0.043","","","","","","","0.039","0.038","","","0.055","","0.035","","","","","","","","","0.0816","","","","0.0398","0.0465","","","","","","0.0629","","","","",
"Canada","CAN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","1.1","1.2","1.3","1.3","1.3","1.3","1.3","1.3","1.4","1.4","1.5","1.6","1.6","1.6","1.7","1.7","1.7","1.8","1.8","1.8","1.8","1.9","1.9","1.9","2","2","2.1","2.1","2.1","2.1","2.1","2.1","2.2","2.1","2.1","2.1","2.1","1.8611","2.1","","1.8871","1.8969","","1.8971","","1.9086","","1.959","","2.0384","","2.3962","2.4509","2.4961","2.5388","2.5668","2.6102","","",
"Central Europe and the Baltics","CEB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43988308038487","","","","","","","","","","2.63607528145424","","","","","","","","","","","","","","","2.88071606891767","","","","",
