"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6101773351637","38.4252516296594","38.2539733977869","38.0889332854014","37.9301825162495","37.8189046043072","37.7164731464329","37.622281176567","37.9353368647352","38.2934395055795","38.6399884171925","38.9748380566635","39.298071026818","39.5975507173953","39.8324879821292","39.8403308114516","39.8479875533115","39.8554502809239","","",
"Andorra","AND","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6040355125115","21.7886595927117","28.9732837238236","36.1579105469073","43.3425326754474","50.5271586937016","57.7117864147701","64.8964068968224","72.0810314517814","79.2656586835425","86.4502795570534","93.6349029183234","100.000001156937","100","99.9999975924307","100.00000244488","100","99.9999962826959","","",
"Arab World","ARB","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.1365698007385","45.2307910316757","45.3760764300206","45.6267714848939","46.1422831655033","46.7416191982917","47.4049048623813","48.1111686464586","48.8241979634968","49.5209378463599","50.1548329025697","50.7191200208085","51.2251124171992","51.6922774201988","52.1109005025112","52.544550699563","52.9853609724642","53.3971092726751","","",
"United Arab Emirates","ARE","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.6233748353822","89.6233748353822","90.0394154663122","90.4554560972421","90.8714967281721","91.287537359102","91.7035779900319","92.1196186209619","92.5356592518918","92.9516998828218","93.3677405137517","93.7837811446817","94.1998217756116","94.6158624065416","95.0319030374715","95.4479436684014","95.8639842993314","96.2800249302613","","",
"Argentina","ARG","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.3683852023176","47.4826236330209","47.5899567539518","47.6945847165249","47.7986885068642","47.9030563123632","47.9726989189199","48.0141049203963","48.0549359817836","48.0953348455815","48.1352346909128","48.1746377876343","48.213547037152","48.2501814846135","48.2844872029421","48.3163327137689","48.30068790362","48.2231668742382","","",
"American Samoa","ASM","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
