Country/Region,0,1,2,3,4,5
Afghanistan,84.0,299.0,714.0,36.0,86.14,94.05
Albania,400.0,548.0,449.11,23.0,26.0,18.04
Algeria,367.0,1320.0,2160.0,275.0,392.0,287.72
Andorra,390.0,601.0,717.0,37.0,88.17,80.24
Angola,24.0,65.12,63.9,51.86,27.93,6.71
Antigua and Barbuda,21.0,66.45,58.23,2.4,27.24,10.3
Argentina,1133.0,2142.0,1611.58,56.0,123.0,238.87
Armenia,532.0,937.0,1339.0,72.37,135.49,145.68
Australia,15.0,60.0,377.0,18.0,54.0,67.0
Austria,6909.0,12051.0,14336.0,337.0,491.0,971.38
Azerbaijan,298.0,991.0,1436.0,11.0,67.61,147.75
Bahamas,49.0,92.1,79.18,22.87,17.39,5.64
Bahrain,419.0,688.0,1528.0,7.0,44.39,142.33
Bangladesh,164.0,1838.0,1187.91,75.0,100.84,102.9
Barbados,75.0,71.35,65.94,12.42,4.6,10.72
Belarus,94.0,1066.0,4779.0,425.39,729.32,651.99
Belgium,50.0,886.0,4937.0,3019.0,5828.0,4586.6
Benin,35.0,36.59,40.4,9.02,7.59,11.52
Bhutan,5.0,5.0,22.45,9.25,12.11,8.78
Bolivia,268.0,564.0,417.53,18.79,20.99,28.69
Bosnia and Herzegovina,624.0,1083.0,806.47,49.0,19.61,32.42
Brazil,3417.0,12161.0,30425.0,1924.0,3655.16,3874.31
Brunei,135.0,137.0,131.9,-49.37,24.99,19.67
Bulgaria,577.0,846.0,670.28,25.0,43.0,86.71
Burkina Faso,443.0,576.0,514.5,35.0,99.23,47.38
Cabo Verde,61.0,85.78,75.76,0.27,11.69,8.96
Cambodia,1.0,1.0,33.0,-8.87,2.62,10.07
Cameroon,650.0,848.0,669.38,7.94,10.75,20.13
Canada,11.0,49.0,415.0,407.0,1399.0,1478.53
Central African Republic,11.0,44.36,42.63,1.1,12.65,6.37
Chad,33.0,77.01,62.71,-35.73,15.44,5.96
Chile,3404.0,7213.0,5131.37,147.0,97.3,235.22
China,75550.0,80136.0,80932.0,2238.0,2914.0,3172.0
Colombia,1485.0,3105.0,2328.92,196.0,200.99,155.74
Congo (Brazzaville),60.0,96.88,86.88,37.35,25.56,9.39
Congo (Kinshasa),215.0,332.0,260.5,25.0,0.46,7.0
Costa Rica,454.0,626.0,474.47,4.0,-22.11,7.71
Cote d'Ivoire,444.0,847.0,624.7,30.82,21.89,31.77
Croatia,495.0,1182.0,1741.0,39.0,91.46,171.64
Diamond Princess,706.0,712.0,712.0,8.0,10.0,11.0
Cuba,620.0,1137.0,839.3,31.0,17.32,43.4
Cyprus,526.0,761.0,583.96,12.0,-1.01,26.34
Czechia,3308.0,5732.0,6900.0,201.0,416.04,641.17
Denmark,2366.0,5266.0,7268.0,285.0,596.32,778.1
Djibouti,732.0,702.99,519.37,7.93,-6.65,3.41
Dominican Republic,1109.0,2620.0,4964.0,196.0,431.86,560.13
Ecuador,2240.0,7161.0,10128.0,355.0,736.21,1094.86
Egypt,110.0,456.0,1070.0,94.0,205.0,167.02
El Salvador,190.0,219.97,170.62,-30.6,16.74,8.02
Equatorial Guinea,41.0,66.02,62.19,-0.39,11.12,8.38
Eritrea,39.0,65.08,60.97,0.33,12.19,9.24
Estonia,645.0,1149.0,1459.0,90.64,144.28,155.79
Eswatini,15.0,53.79,56.97,42.61,27.44,9.36
Ethiopia,71.0,110.22,97.23,43.25,26.22,8.45
Fiji,17.0,36.57,38.98,5.17,14.63,10.99
Finland,2.0,30.0,400.0,98.0,152.81,86.94
France,12.0,288.0,4496.0,149.0,1698.0,8093.0
Gabon,57.0,92.13,83.38,1.0,22.92,12.2
Gambia,9.0,48.75,42.32,-46.53,16.2,10.61
Georgia,83.0,188.0,348.0,44.55,57.25,44.27
Germany,27.0,799.0,9257.0,2349.0,4459.0,3547.86
Ghana,566.0,574.94,432.77,9.0,4.59,5.6
Greece,966.0,1755.0,2207.0,92.0,116.0,147.75
Guatemala,156.0,179.17,138.3,5.0,3.86,8.06
Guinea,250.0,290.34,216.67,-13.76,25.57,13.13
Guyana,45.0,66.0,61.95,6.0,7.0,-42.12
Haiti,47.0,86.66,79.9,40.05,25.59,8.77
Holy See,7.0,8.0,22.52,1.45,13.05,11.34
Honduras,382.0,477.0,395.61,43.52,25.27,14.1
Hungary,623.0,1458.0,1094.23,122.0,109.4,78.05
Iceland,1020.0,1616.0,1760.0,8.0,39.21,138.45
India,3.0,56.0,244.0,246.0,592.0,569.21
Indonesia,1677.0,3842.0,7135.0,306.0,590.0,753.28
Iran,19644.0,41495.0,66220.0,1433.0,2757.0,4110.0
Iraq,346.0,878.0,1400.0,54.0,78.0,96.31
Ireland,2910.0,6574.0,15251.0,287.0,687.0,1262.33
Israel,883.0,6092.0,10743.0,177.0,611.75,1187.29
Italy,1694.0,12462.0,53578.0,5476.0,13155.0,19468.0
Jamaica,63.0,223.0,163.46,5.0,14.19,18.96
Japan,105.0,274.0,639.0,22.0,43.0,63.0
Jordan,299.0,389.0,316.9,-16.48,12.11,21.85
Kazakhstan,951.0,932.29,679.79,-6.87,-0.97,3.51
Kenya,197.0,218.68,172.34,28.8,24.09,12.87
"Korea, South",204.0,4335.0,7869.0,102.0,162.0,208.0
Kuwait,195.0,479.0,1355.0,110.7,183.24,179.63
Kyrgyzstan,489.0,465.06,348.58,9.11,-1.8,7.05
Latvia,446.0,630.0,748.0,36.56,67.21,77.76
Lebanon,248.0,479.0,619.0,19.0,21.0,55.83
Liberia,59.0,86.03,77.11,23.84,25.26,14.3
Liechtenstein,75.0,79.0,87.83,54.26,32.27,9.38
Lithuania,460.0,912.0,1239.0,37.0,125.61,138.01
Luxembourg,1988.0,3115.0,3550.0,69.0,147.26,299.48
Madagascar,121.0,157.3,123.39,-16.48,21.88,10.63
Malaysia,22.0,50.0,428.0,84.0,109.75,75.17
Maldives,19.0,28.0,47.32,41.82,30.47,10.8
Malta,241.0,412.0,317.01,-19.47,25.44,18.13
Mauritania,7.0,15.06,24.35,5.71,10.18,11.83
Mauritius,324.0,332.02,267.59,9.0,21.58,15.25
Mexico,848.0,2785.0,6875.0,546.0,945.18,910.71
Moldova,1056.0,2264.0,1608.16,56.0,15.25,66.59
Monaco,49.0,84.0,94.0,3.67,17.57,13.87
Mongolia,16.0,32.0,40.78,1.42,13.21,8.89
Montenegro,303.0,306.06,232.37,-2.3,9.0,9.23
Morocco,654.0,1545.0,3209.0,97.0,141.0,175.75
Namibia,16.0,40.87,44.05,-7.54,19.33,9.95
Nepal,1.0,1.0,1.0,0.97,10.8,9.63
Netherlands,9819.0,19709.0,30619.0,1771.0,3145.0,3591.08
New Zealand,514.0,1210.0,1422.0,61.47,134.13,157.16
Nicaragua,9.0,8.54,6.14,-0.03,-0.18,-0.09
Niger,648.0,655.69,486.93,29.26,12.31,4.32
Nigeria,111.0,276.0,542.0,60.45,88.92,76.45
North Macedonia,219.0,570.0,1081.0,55.0,165.64,144.84
Norway,3755.0,5865.0,6896.0,134.0,296.18,581.46
Oman,99.0,277.0,813.0,105.55,136.77,111.65
Pakistan,1373.0,3766.0,6919.0,143.0,400.06,726.55
Panama,2528.0,4273.0,3221.44,66.0,126.0,257.01
Papua New Guinea,7.0,45.64,47.69,47.31,32.72,14.08
Paraguay,115.0,199.0,144.84,8.0,-19.6,1.12
Peru,2281.0,11475.0,7518.35,400.0,348.83,505.83
Philippines,3.0,33.0,230.0,1.0,5.0,33.0
Poland,3383.0,6934.0,5165.21,208.0,401.0,596.59
Portugal,8251.0,15987.0,21379.0,629.0,1348.81,2076.53
Qatar,693.0,2376.0,5448.0,385.95,694.68,690.53
Romania,1292.0,4057.0,7707.0,498.0,897.01,953.23
Russia,2.0,20.0,306.0,313.0,375.34,136.31
