Country/Region,Cases 30 days from first case,Cases 40 days from first case,Cases 50 days from first case,Deaths 30 days from first death,Deaths 40 days from first death,Deaths 50 days from first death
Afghanistan,84.0,299.0,714.0,36.0,,
Albania,400.0,548.0,,23.0,26.0,
Algeria,367.0,1320.0,2160.0,275.0,392.0,
Andorra,390.0,601.0,717.0,37.0,,
Angola,24.0,,,,,
Antigua and Barbuda,21.0,,,,,
Argentina,1133.0,2142.0,,56.0,123.0,
Armenia,532.0,937.0,1339.0,,,
Australia,15.0,60.0,377.0,18.0,54.0,67.0
Austria,6909.0,12051.0,14336.0,337.0,491.0,
Azerbaijan,298.0,991.0,1436.0,11.0,,
Bahamas,49.0,,,,,
Bahrain,419.0,688.0,1528.0,7.0,,
Bangladesh,164.0,1838.0,,75.0,,
Barbados,75.0,,,,,
Belarus,94.0,1066.0,4779.0,,,
Belgium,50.0,886.0,4937.0,3019.0,5828.0,
Benin,35.0,,,,,
Bhutan,5.0,5.0,,,,
Bolivia,268.0,564.0,,,,
Bosnia and Herzegovina,624.0,1083.0,,49.0,,
Brazil,3417.0,12161.0,30425.0,1924.0,,
Brunei,135.0,137.0,,,,
Bulgaria,577.0,846.0,,25.0,43.0,
Burkina Faso,443.0,576.0,,35.0,,
Cabo Verde,61.0,,,,,
Cambodia,1.0,1.0,33.0,,,
Cameroon,650.0,848.0,,,,
Canada,11.0,49.0,415.0,407.0,1399.0,
Central African Republic,11.0,,,,,
Chad,33.0,,,,,
Chile,3404.0,7213.0,,147.0,,
China,75550.0,80136.0,80932.0,2238.0,2914.0,3172.0
Colombia,1485.0,3105.0,,196.0,,
Congo (Brazzaville),60.0,,,,,
Congo (Kinshasa),215.0,332.0,,25.0,,
Costa Rica,454.0,626.0,,4.0,,
Cote d'Ivoire,444.0,847.0,,,,
Croatia,495.0,1182.0,1741.0,39.0,,
Diamond Princess,706.0,712.0,712.0,8.0,10.0,11.0
Cuba,620.0,1137.0,,31.0,,
Cyprus,526.0,761.0,,12.0,,
Czechia,3308.0,5732.0,6900.0,201.0,,
Denmark,2366.0,5266.0,7268.0,285.0,,
Djibouti,732.0,,,,,
Dominican Republic,1109.0,2620.0,4964.0,196.0,,
Ecuador,2240.0,7161.0,10128.0,355.0,,
Egypt,110.0,456.0,1070.0,94.0,205.0,
El Salvador,190.0,,,,,
Equatorial Guinea,41.0,,,,,
Eritrea,39.0,,,,,
Estonia,645.0,1149.0,1459.0,,,
Eswatini,15.0,,,,,
Ethiopia,71.0,,,,,
Fiji,17.0,,,,,
Finland,2.0,30.0,400.0,98.0,,
France,12.0,288.0,4496.0,149.0,1698.0,8093.0
Gabon,57.0,,,1.0,,
Gambia,9.0,,,,,
Georgia,83.0,188.0,348.0,,,
Germany,27.0,799.0,9257.0,2349.0,4459.0,
Ghana,566.0,,,9.0,,
Greece,966.0,1755.0,2207.0,92.0,116.0,
Guatemala,156.0,,,5.0,,
Guinea,250.0,,,,,
Guyana,45.0,66.0,,6.0,7.0,
Haiti,47.0,,,,,
Holy See,7.0,8.0,,,,
Honduras,382.0,477.0,,,,
Hungary,623.0,1458.0,,122.0,,
Iceland,1020.0,1616.0,1760.0,8.0,,
India,3.0,56.0,244.0,246.0,592.0,
Indonesia,1677.0,3842.0,7135.0,306.0,590.0,
Iran,19644.0,41495.0,66220.0,1433.0,2757.0,4110.0
Iraq,346.0,878.0,1400.0,54.0,78.0,
Ireland,2910.0,6574.0,15251.0,287.0,687.0,
Israel,883.0,6092.0,10743.0,177.0,,
Italy,1694.0,12462.0,53578.0,5476.0,13155.0,19468.0
Jamaica,63.0,223.0,,5.0,,
Japan,105.0,274.0,639.0,22.0,43.0,63.0
Jordan,299.0,389.0,,,,
Kazakhstan,951.0,,,,,
Kenya,197.0,,,,,
"Korea, South",204.0,4335.0,7869.0,102.0,162.0,208.0
Kuwait,195.0,479.0,1355.0,,,
Kyrgyzstan,489.0,,,,,
Latvia,446.0,630.0,748.0,,,
Lebanon,248.0,479.0,619.0,19.0,21.0,
Liberia,59.0,,,,,
Liechtenstein,75.0,79.0,,,,
