SH.DTH.COMM.ZS,SH.DYN.NCOM.ZS,SH.H2O.SMDW.ZS,SH.MED.PHYS.ZS,SH.STA.SMSS.ZS,SH.PRV.SMOK,SH.STA.HYGN.ZS,SP.DYN.LE00.IN,SP.POP.65UP.TO.ZS,SP.POP.1564.TO.ZS
,,,1.12,,,,76.15,13.55,68.65
36.4,29.8,,0.28,,,37.75,64.49,2.58,54.32
63.4,16.5,,0.21,,,26.66,60.78,2.22,50.97
2.9,17.0,70.02,1.2,39.86,28.7,,78.46,13.74,68.58
,,90.64,3.33,100.0,33.5,,,,
19.97,20.71,,1.1,53.4,21.96,70.17,71.62,4.56,62.66
6.5,16.8,,2.39,96.28,28.9,,77.81,1.09,84.31
15.9,15.8,,3.96,,21.8,,76.52,11.12,64.12
2.8,22.3,86.48,2.9,48.22,24.1,94.04,74.94,11.25,68.11
,,12.58,0.78,,,,,,
11.9,22.6,,2.76,,,,76.89,8.8,69.12
4.6,9.1,,3.59,75.64,14.7,,82.75,15.66,65.15
2.6,11.4,98.91,5.14,96.75,29.6,,81.64,19.0,66.7
8.8,22.2,73.56,3.45,,20.8,83.24,72.86,6.2,70.44
55.8,22.9,,0.05,,,6.14,61.25,2.25,52.25
7.9,11.4,99.52,3.32,97.1,28.2,,81.6,18.79,64.16
54.1,19.6,,0.16,,6.4,11.03,61.47,3.25,54.3
56.3,21.7,,0.06,,12.5,11.88,61.17,2.41,52.64
25.6,21.6,55.44,0.53,,23.0,34.81,72.32,5.16,67.14
2.2,23.6,96.95,3.99,64.41,37.0,,74.87,21.02,64.38
6.9,11.3,98.98,0.93,96.0,26.4,,77.16,2.43,78.32
16.9,15.5,,1.94,,11.5,,73.75,7.26,70.26
1.8,17.8,88.84,2.0,21.55,38.9,97.16,77.26,16.47,68.76
2.5,23.7,94.52,4.08,80.52,26.7,,74.18,14.85,68.29
19.4,22.1,,1.13,,,90.08,74.5,4.74,64.98
,,,1.77,,,,81.65,,
22.4,17.2,,1.61,22.94,,25.38,71.24,7.19,61.73
13.9,16.6,,2.15,49.28,13.9,,75.67,8.92,69.74
